TIME(2023/11/07 09:45:11.918),FPOGD,FPOGID,LPMM,RPMM,AOI
1.82239,0.18124,9,4.32731,3.89905,
1.82874,0.18759,9,4.32322,3.87099,
1.83554,0.1944,9,4.26959,3.87655,
1.84161,0.20047,9,4.27928,3.84995,
1.84897,0.20782,9,4.2977,3.88534,
1.85568,0.21454,9,4.32416,3.84823,
1.86215,0.22101,9,4.26305,3.87701,
1.86877,0.22763,9,4.2594,3.84008,
1.87573,0.23459,9,4.29574,3.84076,
1.88229,0.24115,9,4.27963,3.84289,
1.88913,0.24799,9,4.26495,3.80545,
1.89566,0.25452,9,4.28067,3.82881,
1.9024,0.26126,9,4.22678,3.79294,
1.90884,0.26126,9,4.21819,3.78659,
1.91565,0.26126,9,4.25572,3.78725,
1.92267,0.26126,9,4.2629,3.79466,
1.92935,0.02051,10,4.26975,3.79418,
1.93604,0.02719,10,4.30519,3.81176,
1.94272,0.03387,10,4.29456,3.80444,
1.94894,0.0401,10,4.31133,3.77001,
1.95575,0.04691,10,4.24027,3.78687,
1.96255,0.05371,10,4.22892,3.78001,
1.96951,0.06067,10,4.2008,3.766,
1.97632,0.06747,10,4.25102,3.78445,
1.98291,0.07407,10,4.23798,3.75485,
1.9895,0.08066,10,4.24553,3.74465,
1.99545,0.08661,10,4.2089,3.71902,
2.00293,0.09409,10,4.2225,3.7243,
2.0094,0.10056,10,4.20378,3.77308,
2.01599,0.10715,10,4.20665,3.76236,
2.0231,0.11426,10,4.19002,3.74556,
2.02991,0.12106,10,4.17841,3.76943,
2.03671,0.12787,10,4.20376,3.73695,
2.04263,0.13379,10,4.22143,3.7194,
2.04987,0.14102,10,4.22715,3.73258,
2.05646,0.14761,10,4.24541,3.72142,
2.06287,0.15402,10,4.22454,3.72451,
2.0701,0.16125,10,4.22074,3.77202,
2.07669,0.16785,10,4.25421,3.7239,
2.08337,0.17453,10,4.20959,3.73032,
2.0892,0.18036,10,4.19898,3.70062,
2.09662,0.18777,10,4.21701,3.72857,
2.10333,0.19449,10,4.19019,3.70244,
2.11017,0.20132,10,4.22995,3.69589,
2.11633,0.20749,10,4.21501,3.73311,
2.12326,0.21442,10,4.23,3.72428,
2.13,0.22116,10,4.18474,3.75972,
2.13712,0.22827,10,4.18066,3.7285,
2.14377,0.23492,10,4.18112,3.71505,
2.15021,0.24136,10,4.19473,3.72049,
2.15717,0.24832,10,4.22796,3.6777,
2.16382,0.25497,10,4.22079,3.75229,
2.16983,0.26099,10,4.19924,3.7332,
2.17725,0.2684,10,4.21441,3.71048,
2.18329,0.27444,10,4.22511,3.73036,
2.19067,0.28183,10,4.27587,3.75481,
2.19727,0.28842,10,4.19324,3.75419,
2.20395,0.2951,10,4.1833,3.76135,
2.21075,0.30191,10,4.1688,3.74803,
2.21698,0.30814,10,4.21714,3.75061,
2.22372,0.31488,10,4.19288,3.74033,
2.23029,0.32144,10,4.21638,3.76664,
2.2373,0.32846,10,4.21328,3.75987,
2.24426,0.33542,10,4.21335,3.7353,
2.25058,0.34174,10,4.21996,3.68492,
2.25763,0.34879,10,4.21042,3.7112,
2.26425,0.35541,10,4.2055,3.74105,
2.27097,0.36212,10,4.21373,3.714,
2.27676,0.36792,10,4.21497,3.69979,
2.28394,0.37509,10,4.21071,3.74835,
2.29114,0.38229,10,4.22029,3.77383,
2.29776,0.38892,10,4.23918,3.79701,
2.30444,0.3956,10,4.26552,3.76821,
2.31091,0.40207,10,4.26962,3.74753,
2.31781,0.40897,10,4.24278,3.7262,
2.32446,0.41562,10,4.2773,3.76563,
2.33084,0.422,10,4.25751,3.78307,
2.33774,0.42889,10,4.2576,3.79191,
2.34424,0.43539,10,4.2327,3.80084,
2.35144,0.4426,10,4.28065,3.76116,
2.35806,0.44922,10,4.27511,3.79214,
2.36459,0.44922,10,4.26256,3.78443,
2.3714,0.44922,10,4.25453,3.75288,
2.37817,0.44922,10,4.29085,3.7926,
2.38486,0.02026,11,4.30919,3.80759,
2.39108,0.02649,11,4.30231,3.8063,
2.39832,0.03372,11,4.2702,3.80396,
2.405,0.04041,11,4.31138,3.8208,
2.41165,0.04706,11,4.3009,3.82083,
2.41812,0.05353,11,4.31923,3.80991,
2.42511,0.06052,11,4.3222,3.82526,
2.4317,0.06711,11,4.3352,3.83545,
2.43839,0.07379,11,4.28789,3.81836,
2.44489,0.08029,11,4.32421,3.81368,
2.45142,0.08682,11,4.34287,3.86011,
